number_spikes
3
2
3
2
3
2
1
2
2
4
2
1
3
1
1
3
3
3
2
5
2
2
1
2
2
2
3
2
3
3
2
2
2
3
2
1
2
3
3
4
1
2
4
2
4
5
4
2
4
4
4
4
1
6
5
3
3
3
4
4
2
3
2
5
5
3
5
3
5
6
3
5
5
5
3
3
8
4
5
4
3
4
5
7
5
6
6
2
5
7
4
6
3
5
6
2
5
6
5
6
4
4
6
4
4
5
4
6
4
6
6
3
3
6
6
9
4
9
5
9
9
6
7
5
7
6
5
8
4
7
10
5
8
8
7
5
9
9
7
4
5
3
2
4
4
6
6
4
5
3
5
2
4
5
6
10
8
9
6
6
6
5
7
4
4
3
4
6
4
4
5
5
5
5
3
4
4
4
4
4
4
6
3
8
5
5
8
5
4
5
6
4
4
2
4
6
8
8
7
4
